order	season	episode	character_killed	killer	method	method_cat	reason	location	allegiance	importance
25	1	5	Lannister soldier	Ned Stark	Sword	Blade	Attacked Ned Stark on Jamie Lannister’s command	King’s Landing	House Lannister	1
26	1	5	Lannister soldier	Jory Cassel	Sword	Blade	Attacked Ned Stark on Jamie Lannister’s command	King’s Landing	House Lannister	1
27	1	5	Lannister soldier	Jory Cassel	Sword	Blade	Attacked Ned Stark on Jamie Lannister’s command	King’s Landing	House Lannister	1
28	1	5	Jory Cassel	Jaime Lannister	Knife	Blade	Attacked Jaime in defense of Ned Stark	King’s Landing	House Stark	3
29	1	6	Wallen	Robb Stark	Sword	Blade	Attacked Bran Stark	Winterfell	Free Folk	2
30	1	6	Wildling	Robb Stark	Sword	Blade	Attacked Bran Stark	Winterfell	Free Folk	1
31	1	6	Stiv	Theon Greyjoy	Arrow	Arrow	Attacked Bran Stark	Winterfell	Free Folk	2
32	1	6	Vardis Egen	Bronn	Sword	Blade	Defeated in a trial by combat to determine Tyrion Lannister’s fate	The Eyrie	House Egen, House Arryn	2
33	1	6	Viserys Targaryen	Khal Drogo	Molten gold	Fire/Burning	Threatened Daenerys Targaryen and her unborn child, drew his sword in the sacred city	Vaes Dothrak	House Targaryen	4
38	1	7	Stark soldier	Sandor “the Hound” Clegane	Sword	Blade	Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne	King’s Landing	House Stark	1
45	1	8	Syrio Forel	Meryn Trant	Sword	Blade	Cersei Lannister and Joffrey Baratheon attacked the Starks because Ned Stark claimed Joffrey had no claim to the throne	King’s Landing	House Stark	3
46	1	8	Stableboy	Arya Stark	Sword (Needle)	Blade	Tried to grab Arya	King’s Landing	Smallfolk	1
47	1	8	Othor	Jon Snow	Fire	Fire/Burning	Attacked Jeor Mormont	Castle Black	None	1
49	1	8	Mago	Khal Drogo	Hands	Hands	Challenged Khal Drogo when Daenerys took his spoils of war	Lhazar	Dothraki	2
50	1	9	Raven	Theon Greyjoy	Arrow	Arrow	Killed to prevent a message from leaving The Twins	The Twins	None	1
51	1	9	Drogo’s horse	Mirri Maz Duur	Knife	Blade	Sacrificed for magic ceremony	Red Waste	Dothraki	1
52	1	9	Qotho	Jorah Mormont	Sword	Blade	Tried to stop Mirri Maz Duur’s magic ritual from being performed on Khal Drogo	Red Waste	Dothraki	2
55	1	9	Pigeon	Arya Stark	Hands	Hands	Killed for food	King’s Landing	None	1
56	1	9	Ned Stark	Ilyn Payne	Sword (Ice)	Blade	Executed on Joffrey Baratheon’s orders after Ned claimed Joffrey wasn’t the true heir to the throne	King’s Landing	House Stark	4
57	1	10	Rhaego	Mirri Maz Duur	Magic	Magic	Killed in a blood magic ritual as revenge	Red Waste	Dothraki	2
58	1	10	Khal Drogo	Daenerys Targaryen	Pillow	Household item	Killed after being put into a vegetative state by Mirri Maz Duur	Red Waste	Dothraki	4
59	1	10	Mirri Maz Duur	Daenerys Targaryen	Fire	Fire/Burning	Revenge for her having killed Khal Drogo and Rhaego	Red Waste	None	3
60	2	1	Knight	Sandor “the Hound” Clegane	Mace	Mace	Defeated in nameday tournament for Joffrey Baratheon	King’s Landing	None	1
62	2	1	Maester Cressen	Melisandre “the Red Woman” of Asshai	Poison (magic?)	Poison	Tried to kill Melisandre	Dragonstone	House Baratheon of Dragonstone	2
63	2	1	Barra (Baratheon illegitimate daughter)	Janos Slynt	Knife	Blade	Joffrey Baratheon orders all of Robert Baratheon’s illegitimate children to be killed	King’s Landing	Smallfolk	2
68	2	3	Lannister soldier	Yoren	Sword	Blade	Attempted to take Gendry from Yoren’s Night’s Watch recruits	Riverlands	House Lannister	1
69	2	3	Lannister soldier	Yoren	Sword	Blade	Attempted to take Gendry from Yoren’s Night’s Watch recruits	Riverlands	House Lannister	1
70	2	3	Lannister soldier	Yoren	Sword	Blade	Attempted to take Gendry from Yoren’s Night’s Watch recruits	Riverlands	House Lannister	1
71	2	3	Lannister soldier	Yoren	Sword	Blade	Attempted to take Gendry from Yoren’s Night’s Watch recruits	Riverlands	House Lannister	1
72	2	3	Lannister soldier	Yoren	Sword	Blade	Attempted to take Gendry from Yoren’s Night’s Watch recruits	Riverlands	House Lannister	1
73	2	3	Yoren	Amory Lorch	Sword	Blade	Refused to hand over Gendry	Riverlands	Night’s Watch	3
75	2	3	Lommy Greenhands	Polliver	Sword (Needle)	Blade	Killed after asking to be carried	Riverlands	Smallfolk	2
76	2	4	Rennick	Grey Wind	Direwolf teeth	Animal	Battle between Lannister and Stark forces	Oxcross	House Lannister	2
77	2	4	Lannister soldier	Grey Wind	Direwolf teeth	Animal	Battle between Lannister and Stark forces	Oxcross	House Lannister	1
78	2	4	Prisoner	The Tickler	Rat	Animal	Tortured for information about the Brotherhood without Banners	Harrenhal	None	1
79	2	5	Renly Baratheon	Melisandre “the Red Woman” of Asshai	Shadow Demon	Magic	Killed so that Stannis Baratheon would have fewer enemies	Storm’s End	House Baratheon of Storm’s End	4
80	2	5	Baratheon of Storm’s End guard	Brienne of Tarth	Sword	Blade	Attacked Brienne after assuming she killed Renly Baratheon	Storm’s End	House Baratheon of Storm’s End	1
