SpeciesGroup,Species,NucleusVol,CellVol
Amphibians (frogs),acris_crepitans,87.9073965883338,3635.0190497442577
Amphibians (frogs),acris_gryllus,90.17643885749486,1107.31611541324
Amphibians (frogs),bombina_bombina,252.2039449789917,1795.73226639681
Amphibians (frogs),bombina_orientalis,174.85763016545505,3185.5749507400437
Amphibians (frogs),bombina_variegata,194.4456723492136,5519.499214209899
Amphibians (frogs),bufo_americanus,110.43436673735408,1098.148731339148
Amphibians (frogs),bufo_bufo,144.79028999089664,2688.071262937108
Amphibians (frogs),bufo_calamita,97.34192021055772,1795.73226639681
Amphibians (frogs),bufo_marinus,101.89693570091129,1672.4268491385335
Amphibians (frogs),bufo_terrestris,106.67748466879978,1055.4232879612384
Amphibians (frogs),bufo_viridis,107.23612513409718,1795.73226639681
Amphibians (frogs),crinia_signifera,44.149866104777736,1937.1453001116568
Amphibians (frogs),cyclorana_alboguttata,60.03176371925275,1592.7874753700264
Amphibians (frogs),hyla_arborea,97.93207135210498,1295.342570551443
Amphibians (frogs),hyla_gratiosa,140.19709035058025,1908.5531417725472
Amphibians (frogs),hyla_japonica,100.01656481694135,2014.372454320972
Amphibians (frogs),limnodynastes_fletcheri,80.71176253263314,995.4827473283108
Amphibians (frogs),limnodynastes_peronii,49.59543713549627,1538.0714033199931
Amphibians (frogs),limnonectes_limnocharis,88.68730596066312,1788.1442729408684
Amphibians (frogs),litoria_bicolor,102.93061743699026,1802.9461485276493
Amphibians (frogs),microhyla_ornata,110.97541012213426,1967.8198107813
Amphibians (frogs),pseudacris_crucifer,76.95549208352222,1396.202226465032
Amphibians (frogs),pseudacris_nigrita,86.4691039032195,942.4777960769457
Amphibians (frogs),rana_catesbeiana,165.25555531496747,2699.0747158717595
Amphibians (frogs),rana_clamitans,148.16635142270613,2126.140791589603
Amphibians (frogs),rana_esculenta,150.63936191615161,4119.624900924978
Amphibians (frogs),rana_japonica,109.29619822701504,2334.1415569617025
Amphibians (frogs),rana_nigromaculata,129.28971840354393,2334.1415569617025
Amphibians (frogs),rana_palustris,137.1019762675992,1722.8054289314816
Amphibians (frogs),rana_pipiens,145.42474462702452,2172.138763229978
Amphibians (frogs),rana_porosa,128.928353734998,2661.9913595062653
Amphibians (frogs),rana_rugosa,178.74938353177586,3610.20622736744
Amphibians (frogs),rana_sylvatica,128.3201530994767,3635.0190497442577
Amphibians (frogs),rana_tagoi,114.33388691571272,2586.672199235171
Amphibians (frogs),rana_temporaria,90.3314283113218,2919.3450011818163
Amphibians (frogs),rana_tsushimensis,113.19265376548869,2343.8417478784195
Amphibians (frogs),uperoleia_marmorata,43.06904053032574,1813.0916602030036
Amphibians (frogs),xenopus_laevis,69.69542854483241,1201.031064124673
Amphibians (salamanders),ambystoma_maculatum,746.1016841701969,10570.62787055084
Amphibians (salamanders),ambystoma_mexicanum,772.7200469204909,11809.13386307226
Amphibians (salamanders),ambystoma_tigrinum,711.8634022610096,5546.163400676514
Amphibians (salamanders),amphiuma_means,1939.2857913327452,35108.66741862953
Amphibians (salamanders),cryptobranchus_alleganiensis,1287.912977263888,12196.969903385316
Amphibians (salamanders),cynops_pyrrhogaster,805.2300929521401,9680.7130422818
Amphibians (salamanders),desmognathus_fuscus,358.4478812055451,2592.653268048861
Amphibians (salamanders),desmognathus_monticola,367.4615644412421,3417.578426615038
Amphibians (salamanders),desmognathus_quadramaculatus,377.5652231718121,6189.043766712073
Amphibians (salamanders),dicamptodon_ensatus,1330.7370638653713,23104.521681177677
Amphibians (salamanders),eurycea_bislineata,596.9806105743842,4964.899725904704
Amphibians (salamanders),eurycea_lucifuga,468.55737745587464,9224.553788980616
Amphibians (salamanders),gyrinophilus_porphyriticus,468.83424949780624,8635.924045453005
Amphibians (salamanders),hynobius_nebulosus,431.76313710110446,5111.748238509078
Amphibians (salamanders),hynobius_tsuensis,368.42561357968503,5609.233572371967
Amphibians (salamanders),necturus_maculosus,2044.2587184041508,23478.931596012608
Amphibians (salamanders),notophthalmus_viridescens,865.5839454983168,5132.2951363615975
Amphibians (salamanders),onychodactylus_fischeri,1107.0015461867092,12414.185583033935
Amphibians (salamanders),plethodon_cinereus,527.7586530955926,4595.573012110704
Amphibians (salamanders),plethodon_glutinosus,650.5209937735473,7135.8847627973
Amphibians (salamanders),proteus_anguinus,1151.5275502968595,40497.032586322144
Amphibians (salamanders),salamandra_salamandra,779.0993452970137,15761.462496444525
Amphibians (salamanders),siren_lacertina,1321.6790070289317,35338.40393143966
Amphibians (salamanders),taricha_granulosa,778.6945645660882,10820.779912526436
Amphibians (salamanders),triturus_alpestris,599.2613221731942,9269.884352977931
Amphibians (salamanders),triturus_cristatus,523.264818505125,6158.149919566641
Amphibians (salamanders),triturus_vulgaris,578.0106199702715,6527.638914740789
Angiosperm,acer_pseudoplatanus,18.183172796747467,5353.85230608024
Angiosperm,aesculus_hippocastanum,7.8332412774892335,3190.1840344619345
Angiosperm,allium_cepa,266.29515459699167,1126350.9501833438
Angiosperm,alnus_glutinosa,6.616765451417764,4799.560429846273
Angiosperm,alnus_viridus,7.8332412774892335,6614.213340586133
Angiosperm,amorphophallus_bulbifer,134.91360269523372,167453.871494485
Angiosperm,amorphophallus_paeoniifolius,59.094043102926065,13398.011994217288
Angiosperm,annona_glabra,17.484323829700234,11305.499085840713
Angiosperm,ansellia_africana,25.36307763635912,32608.929347850764
Angiosperm,asarum_caudatum,66.41575068316622,141116.7163641547
Angiosperm,berberis_buxifolia,41.66729356267491,16766.853613174957
Angiosperm,berberis_montana,11.934537264058545,21403.64153146948
Angiosperm,berberis_vulgaris,18.462993364629916,28385.24087272715
Angiosperm,betula_pubescens,11.934537264058545,42570.624924898984
